GEO_ID,NAME,S1901_C01_001E,S1901_C01_012E,S1901_C01_013E
Geography,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars)
8600000US41740,ZCTA5 41740,322,67404,72144
8600000US41745,ZCTA5 41745,143,31509,47426
8600000US41746,ZCTA5 41746,352,-,51575
8600000US41749,ZCTA5 41749,1405,29865,48305
8600000US41751,ZCTA5 41751,105,65707,77076
8600000US41754,ZCTA5 41754,200,45872,50918
8600000US41759,ZCTA5 41759,94,21765,27677
8600000US41760,ZCTA5 41760,49,-,N
8600000US41762,ZCTA5 41762,0,-,-
8600000US41763,ZCTA5 41763,249,-,81637
8600000US41764,ZCTA5 41764,310,45543,43443
8600000US41766,ZCTA5 41766,101,-,33194
8600000US41772,ZCTA5 41772,115,43594,50150
8600000US41773,ZCTA5 41773,520,22635,27305
8600000US41774,ZCTA5 41774,1048,38281,64290
8600000US41775,ZCTA5 41775,25,-,N
8600000US41776,ZCTA5 41776,390,32571,42093
8600000US41777,ZCTA5 41777,438,41389,42516
8600000US41804,ZCTA5 41804,322,63370,50165
8600000US41810,ZCTA5 41810,208,44236,45057
8600000US41812,ZCTA5 41812,99,32986,47635
8600000US41815,ZCTA5 41815,322,21481,55721
8600000US41817,ZCTA5 41817,98,40625,49393
8600000US41819,ZCTA5 41819,161,43117,31772
8600000US41821,ZCTA5 41821,68,-,N
8600000US41822,ZCTA5 41822,1100,32028,44624
8600000US41824,ZCTA5 41824,694,-,45104
8600000US41825,ZCTA5 41825,151,39792,46760
8600000US41826,ZCTA5 41826,232,36250,42689
8600000US41828,ZCTA5 41828,330,34405,44440
8600000US41831,ZCTA5 41831,435,65353,65813
8600000US41832,ZCTA5 41832,149,62869,53648
8600000US41833,ZCTA5 41833,172,-,27798
8600000US41834,ZCTA5 41834,104,26857,41050
8600000US41835,ZCTA5 41835,326,30000,51601
8600000US41836,ZCTA5 41836,399,55148,50325
8600000US41837,ZCTA5 41837,400,40395,51028
8600000US41838,ZCTA5 41838,313,35772,36506
8600000US41839,ZCTA5 41839,454,44500,48618
8600000US41840,ZCTA5 41840,330,29211,47301
